Mask No,PRODUCT_NAME,LEASE_TENOR_INCLUDING_HP_cluster,VEHICLE_AGE,YOM,LEASE_TENOR_INCLUDING_HP,TOTAL INCOME_NUM,TOTAL INCOME,CUSTOMER AGE,Exp,Sub_purpose_code_based_on_risk,CRIB_SCORE,Percentage_of_Total_Current_Balance_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Arrears_Amount_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Installments_to_Total_Current_Balance_slabs,Cluster
1308,CASH IN HAND,24-36,13,2011,25,80000,80000-100000,50,0.547154581,Low_risk_sub_purpose_code,60-80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
1309,Three Wheeler-Lease-Registered,60+,8,2016,61,80000,80000-100000,37,0.821177375,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
1310,Three Wheeler-Lease-Registered,48-60,9,2015,48,0,< 40000,41,0.639304348,Low_risk_sub_purpose_code,below 0,between 50 - 100 percentage,above 15 percentage,between 2- 5 percentage,Red
1311,Three Wheeler-Lease-Registered,24-36,11,2013,31,60000,60000-80000,31,0.415002857,Medium_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
1312,Three Wheeler-Lease-Registered,36-48,18,2006,37,500000,120000+,29,0.62817,Low_risk_sub_purpose_code,Above 80,between 100 - 150 percentage,between 5 - 10 percentage,less than 2 percentage,Red
1313,CASH IN HAND,36-48,6,2018,37,150000,120000+,48,0.627095795,Low_risk_sub_purpose_code,60-80,less than 50 percentage,less than 1 percentage,between 2- 5 percentage,Green
1314,Three Wheeler-Lease-Registered,36-48,16,2008,37,60000,60000-80000,25,0.627482609,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,less than 2 percentage,Red
1315,Three Wheeler-Lease-Registered,48-60,16,2008,49,100000,100000-120000,47,0.623746377,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
1316,CASH IN HAND,24-36,19,2005,25,60000,60000-80000,39,0.403428027,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
1318,CASH IN HAND,60+,6,2018,61,85000,80000-100000,41,0.297929846,Medium_risk_sub_purpose_code,Missing,less than 50 percentage,between 5 - 10 percentage,between 5- 10 percentage,Red
1319,Three Wheeler-Lease-Registered,48-60,17,2007,49,60000,60000-80000,36,0.66848109,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
1321,Three Wheeler-Lease-Registered,48-60,14,2010,49,50000,40000-60000,19,0.516813241,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Green
1322,Three Wheeler-Lease-Registered,24-36,12,2012,31,90000,80000-100000,34,0.231432187,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,less than 2 percentage,Green
1324,Three Wheeler-Lease-Registered,36-48,13,2011,43,80000,80000-100000,56,0.574172111,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
1325,Three Wheeler-Lease-Registered,24-36,9,2015,25,100000,100000-120000,26,0.43399792,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
1326,CASH IN HAND,24-36,18,2006,25,70000,60000-80000,52,0.572549729,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
1327,CASH IN HAND,60+,14,2010,61,150000,120000+,47,0.660268138,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
