Mask No,PRODUCT_NAME,LEASE_TENOR_INCLUDING_HP_cluster,VEHICLE_AGE,YOM,LEASE_TENOR_INCLUDING_HP,TOTAL INCOME_NUM,TOTAL INCOME,CUSTOMER AGE,Exp,Sub_purpose_code_based_on_risk,CRIB_SCORE,Percentage_of_Total_Current_Balance_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Arrears_Amount_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Installments_to_Total_Current_Balance_slabs,Cluster
0,CASH IN HAND,24-36,11,2013,25,80000,80000-100000,33,0.104444335,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
1,CASH IN HAND,24-36,4,2020,31,60000,60000-80000,24,0.224572892,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
2,Three Wheeler-Lease-Registered,48-60,17,2007,48,60000,60000-80000,41,0.530016807,Low_risk_sub_purpose_code,below 0,between 50 - 100 percentage,between 5 - 10 percentage,less than 2 percentage,Red
3,CASH IN HAND,48-60,9,2015,49,80000,80000-100000,54,0.452255652,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
4,Three Wheeler-Lease-Registered,60+,14,2010,61,80000,80000-100000,36,0.827881931,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,above 15 percentage,between 2- 5 percentage,Red
5,Three Wheeler-Lease-Registered,36-48,10,2014,37,100000,100000-120000,32,0.603436888,Low_risk_sub_purpose_code,20-40,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
6,CASH IN HAND,48-60,5,2019,49,150000,120000+,30,0.791424646,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
7,Three Wheeler-Lease-Registered,60+,18,2006,61,150000,120000+,31,0.785484286,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Red
10,Three Wheeler-Lease-Registered,36-48,15,2009,37,80000,80000-100000,20,0.635812179,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
11,Three Wheeler-Lease-Registered,36-48,13,2011,37,80000,80000-100000,62,0.532807921,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
12,Three Wheeler-Lease-Registered,24-36,10,2014,25,100000,100000-120000,35,0.634950063,Low_risk_sub_purpose_code,below 0,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
13,Three Wheeler-Lease-Registered,36-48,10,2014,37,60000,60000-80000,47,0.498061798,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Green
14,Three Wheeler-Lease-Registered,60+,11,2013,61,100000,100000-120000,40,0.430023834,Low_risk_sub_purpose_code,Missing,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
16,CASH IN HAND,60+,8,2016,61,75000,60000-80000,35,0.529362116,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Red
17,CASH IN HAND,48-60,17,2007,49,75000,60000-80000,28,0.788822857,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
18,CASH IN HAND,24-36,10,2014,25,150000,120000+,32,0.531783187,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
19,Three Wheeler-Lease-Registered,36-48,17,2007,37,150000,120000+,31,0.626410756,Low_risk_sub_purpose_code,20-40,between 150 - 200 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
20,Three Wheeler-Lease-Registered,60+,10,2014,60,50000,40000-60000,53,0.793814702,Low_risk_sub_purpose_code,below 0,between 100 - 150 percentage,above 15 percentage,between 2- 5 percentage,Red
22,Three Wheeler-Lease-Registered,60+,14,2010,61,300000,120000+,36,0.613279208,Low_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
23,CASH IN HAND,24-36,14,2010,31,150000,120000+,25,0.395719946,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
24,CASH IN HAND,24-36,18,2006,31,100000,100000-120000,27,0.503301989,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
25,CASH IN HAND,60+,9,2015,61,20000,< 40000,40,0.730212281,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
26,Three Wheeler-Lease-Registered,24-36,10,2014,25,100000,100000-120000,25,0.292264509,Medium_risk_sub_purpose_code,20-40,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
27,Three Wheeler-Lease-Registered,36-48,14,2010,37,300000,120000+,25,0.644730033,Low_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,Missing,Green
28,CASH IN HAND,48-60,6,2018,49,300000,120000+,23,0.61736853,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
29,CASH IN HAND,48-60,9,2015,49,100000,100000-120000,56,0.539663027,Low_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
30,CASH IN HAND,36-48,9,2015,37,100000,100000-120000,44,0.521472174,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 5 - 10 percentage,between 5- 10 percentage,Green
31,Three Wheeler-Lease-Registered,36-48,11,2013,43,150000,120000+,38,0.378211399,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
32,Three Wheeler-Lease-Registered,24-36,10,2014,25,90000,80000-100000,56,0.407429364,Low_risk_sub_purpose_code,60-80,between 100 - 150 percentage,between 10 - 15 percentage,between 2- 5 percentage,Green
33,CASH IN HAND,48-60,11,2013,55,120000,120000+,48,0.517115238,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 5 - 10 percentage,between 2- 5 percentage,Green
34,Three Wheeler-Lease-Registered,24-36,12,2012,25,200000,120000+,41,0.641667476,Low_risk_sub_purpose_code,40-60,less than 50 percentage,between 5 - 10 percentage,between 5- 10 percentage,Green
35,Three Wheeler-Lease-Registered,< 24,10,2014,19,160000,120000+,36,0.643124718,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
36,Three Wheeler-Lease-Registered,48-60,12,2012,49,100000,100000-120000,49,0.604449756,Medium_risk_sub_purpose_code,20-40,less than 50 percentage,between 10 - 15 percentage,above 10 percentage,Green
37,Three Wheeler-Lease-Registered,60+,9,2015,61,80000,80000-100000,33,0.825882609,Medium_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Red
38,Three Wheeler-Lease-Registered,60+,8,2016,61,60000,60000-80000,21,0.787977143,Medium_risk_sub_purpose_code,Missing,between 100 - 150 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
39,Three Wheeler-Lease-Registered,60+,13,2011,61,60000,60000-80000,24,0.828392258,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Red
40,Three Wheeler-Lease-Registered,60+,15,2009,61,150000,120000+,28,0.826376119,Medium_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Red
41,Three Wheeler-Lease-Registered,48-60,16,2008,49,40000,40000-60000,60,0.429496774,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
42,Three Wheeler-Lease-Registered,60+,9,2015,61,80000,80000-100000,46,0.720248696,Low_risk_sub_purpose_code,below 0,less than 50 percentage,above 15 percentage,above 10 percentage,Green
44,Three Wheeler-Lease-Registered,60+,14,2010,61,100000,100000-120000,30,0.622459586,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,between 1 - 5 percentage,less than 2 percentage,Green
45,Three Wheeler-Lease-Registered,48-60,19,2005,49,110000,100000-120000,21,0.62253757,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
46,Three Wheeler-Lease-Registered,48-60,16,2008,49,100000,100000-120000,20,0.624113548,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
47,Three Wheeler-Lease-Registered,48-60,8,2016,49,100000,100000-120000,22,0.54432748,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
48,Three Wheeler-Lease-Registered,36-48,14,2010,37,180000,120000+,24,0.628169931,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,above 15 percentage,between 2- 5 percentage,Red
49,CASH IN HAND,36-48,9,2015,37,140000,120000+,31,0.294592488,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
50,Three Wheeler-Lease-Registered,24-36,10,2014,25,150000,120000+,25,0.505194479,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
51,Three Wheeler-Lease-Registered,48-60,15,2009,49,100000,100000-120000,31,0.594393355,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
52,Three Wheeler-Lease-Registered,48-60,14,2010,49,90000,80000-100000,26,0.624113242,Low_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,Missing,Green
53,Three Wheeler-Lease-Registered,36-48,15,2009,37,150000,120000+,55,0.625739535,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Red
54,Three Wheeler-Lease-Registered,48-60,11,2013,49,150000,120000+,24,0.565573057,Low_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
55,Three Wheeler-Lease-Registered,36-48,9,2015,43,150000,120000+,34,0.499077934,Low_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
56,Three Wheeler-Lease-Registered,36-48,9,2015,43,70000,60000-80000,38,0.440612207,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
57,Three Wheeler-Lease-Registered,36-48,12,2012,37,160000,120000+,41,0.330319428,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
58,Three Wheeler-Lease-Registered,24-36,7,2017,25,200000,120000+,20,0.541735656,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
59,Three Wheeler-Lease-Registered,48-60,13,2011,49,100000,100000-120000,31,0.521194724,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
60,Three Wheeler-Lease-Registered,24-36,11,2013,25,150000,120000+,44,0.183437644,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
61,CASH IN HAND,48-60,12,2012,49,200000,120000+,50,0.30408878,Medium_risk_sub_purpose_code,60-80,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
62,CASH IN HAND,60+,18,2006,61,120000,120000+,62,0.738728571,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 10 - 15 percentage,between 2- 5 percentage,Green
63,CASH IN HAND,24-36,18,2006,25,90000,80000-100000,33,0.750740496,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,between 2- 5 percentage,Green
64,CASH IN HAND,24-36,13,2011,25,150000,120000+,32,0.84597471,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 10 - 15 percentage,between 2- 5 percentage,Red
65,Three Wheeler-Lease-Registered,48-60,14,2010,49,75000,60000-80000,33,0.660371862,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Red
66,Three Wheeler-Lease-Registered,36-48,19,2005,37,50000,40000-60000,19,0.627033833,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
67,Three Wheeler-Lease-Registered,60+,13,2011,61,50000,40000-60000,59,0.748225032,Medium_risk_sub_purpose_code,0-20,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
68,Three Wheeler-Lease-Registered,48-60,11,2013,49,500000,120000+,31,0.394668571,Medium_risk_sub_purpose_code,Above 80,between 100 - 150 percentage,between 1 - 5 percentage,less than 2 percentage,Green
69,CASH IN HAND,60+,8,2016,61,95000,80000-100000,39,0.823952593,Medium_risk_sub_purpose_code,40-60,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
70,CASH IN HAND,24-36,11,2013,25,120000,120000+,41,0.794369948,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,less than 1 percentage,between 2- 5 percentage,Green
71,CASH IN HAND,48-60,16,2008,49,55000,40000-60000,24,0.770220645,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
72,Three Wheeler-Lease-Registered,24-36,13,2011,25,85000,80000-100000,22,0.227916266,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
73,Three Wheeler-Lease-Registered,36-48,8,2016,37,70000,60000-80000,51,0.132945608,Low_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,Missing,Green
74,Three Wheeler-Lease-Registered,48-60,11,2013,49,100000,100000-120000,44,0.633595789,Low_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
75,CASH IN HAND,24-36,8,2016,31,120000,120000+,48,0.333215455,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
76,CASH IN HAND,36-48,14,2010,37,70000,60000-80000,51,0.579689931,Low_risk_sub_purpose_code,0-20,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Red
77,Three Wheeler-Lease-Registered,36-48,17,2007,37,100000,100000-120000,38,0.592,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
78,Three Wheeler-Lease-Registered,48-60,14,2010,48,80000,80000-100000,27,0.559665272,Low_risk_sub_purpose_code,below 0,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
80,CASH IN HAND,36-48,9,2015,37,90000,80000-100000,58,0.321255263,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,above 15 percentage,between 5- 10 percentage,Green
81,Three Wheeler-Lease-Registered,48-60,10,2014,49,88000,80000-100000,29,0.623746242,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
82,Three Wheeler-Lease-Registered,48-60,13,2011,49,120000,120000+,29,0.623452334,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
83,Three Wheeler-Lease-Registered,24-36,16,2008,25,60000,60000-80000,19,0.635747826,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
84,CASH IN HAND,36-48,13,2011,37,80000,80000-100000,67,0.473090806,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
85,Three Wheeler-Lease-Registered,36-48,18,2006,37,100000,100000-120000,33,0.612652803,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
86,Three Wheeler-Lease-Registered,36-48,6,2018,37,100000,100000-120000,25,0.633362069,Low_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
87,Three Wheeler-Lease-Registered,36-48,6,2018,37,100000,100000-120000,51,0.698444308,Medium_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
88,CASH IN HAND,36-48,17,2007,37,60000,60000-80000,44,0.351339832,Medium_risk_sub_purpose_code,Missing,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
89,CASH IN HAND,36-48,16,2008,37,60000,60000-80000,46,0.606258065,Medium_risk_sub_purpose_code,60-80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
90,Three Wheeler-Lease-Registered,60+,16,2008,61,75000,60000-80000,43,0.738176774,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
91,Three Wheeler-Lease-Registered,60+,14,2010,61,100000,100000-120000,22,0.837517273,Medium_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,less than 2 percentage,Red
92,Three Wheeler-Lease-Registered,36-48,15,2009,37,75000,60000-80000,43,0.613825385,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
93,CASH IN HAND,24-36,12,2012,25,125000,120000+,48,0.117731111,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
94,CASH IN HAND,60+,9,2015,61,250000,120000+,50,0.639204368,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 5 - 10 percentage,less than 2 percentage,Green
95,CASH IN HAND,48-60,13,2011,49,100000,100000-120000,43,0.830104774,Medium_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 10 - 15 percentage,between 5- 10 percentage,Green
96,CASH IN HAND,48-60,11,2013,49,85000,80000-100000,49,0.597009524,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 5 - 10 percentage,above 10 percentage,Green
97,CASH IN HAND,24-36,19,2005,31,150000,120000+,51,0.495273594,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
98,Three Wheeler-Lease-Registered,60+,9,2015,61,100000,100000-120000,44,0.82409685,Medium_risk_sub_purpose_code,Missing,less than 50 percentage,less than 1 percentage,between 2- 5 percentage,Red
99,CASH IN HAND,24-36,14,2010,31,130000,120000+,27,0.267022345,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
100,Three Wheeler-Lease-Registered,36-48,18,2006,37,135000,120000+,38,0.555293805,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
101,CASH IN HAND,36-48,17,2007,37,70000,60000-80000,68,0.485011432,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
102,CASH IN HAND,36-48,10,2014,37,70000,60000-80000,34,0.454025434,Low_risk_sub_purpose_code,60-80,less than 50 percentage,between 5 - 10 percentage,between 2- 5 percentage,Green
103,Three Wheeler-Lease-Registered,60+,10,2014,61,100000,100000-120000,48,0.621939272,Low_risk_sub_purpose_code,Missing,above 200 percentage,between 10 - 15 percentage,less than 2 percentage,Red
104,CASH IN HAND,< 24,9,2015,19,250000,120000+,43,0.406419298,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
105,Three Wheeler-Lease-Registered,60+,13,2011,60,55000,40000-60000,37,0.780286832,Low_risk_sub_purpose_code,below 0,between 150 - 200 percentage,between 10 - 15 percentage,less than 2 percentage,Red
106,Three Wheeler-Lease-Registered,36-48,12,2012,37,150000,120000+,27,0.639933702,Low_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
107,CASH IN HAND,60+,10,2014,61,70000,60000-80000,54,0.709020116,Medium_risk_sub_purpose_code,0-20,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Red
108,Three Wheeler-Lease-Registered,48-60,19,2005,49,70000,60000-80000,63,0.62253757,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
109,CASH IN HAND,36-48,12,2012,37,70000,60000-80000,55,0.60511133,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,above 15 percentage,between 2- 5 percentage,Green
110,Three Wheeler-Lease-Registered,60+,19,2005,61,45000,40000-60000,39,0.827376449,Medium_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Red
112,CASH IN HAND,24-36,9,2015,25,70000,60000-80000,28,0.279709932,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
114,Three Wheeler-Lease-Registered,60+,5,2019,60,70000,60000-80000,42,0.519272727,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
115,CASH IN HAND,48-60,19,2005,55,50000,40000-60000,42,0.602661582,Low_risk_sub_purpose_code,20-40,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
116,CASH IN HAND,< 24,18,2006,13,65000,60000-80000,26,0.238905967,Low_risk_sub_purpose_code,20-40,between 100 - 150 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
117,CASH IN HAND,24-36,11,2013,31,70000,60000-80000,23,0.414018848,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
118,CASH IN HAND,60+,7,2017,61,60000,60000-80000,39,0.3453775,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
119,Three Wheeler-Lease-Registered,60+,11,2013,61,60000,60000-80000,57,0.622460104,Low_risk_sub_purpose_code,60-80,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Red
120,Three Wheeler-Lease-Registered,36-48,13,2011,37,65000,60000-80000,21,0.627873267,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
121,CASH IN HAND,36-48,18,2006,37,50000,40000-60000,40,0.62782439,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Green
122,Three Wheeler-Lease-Registered,36-48,10,2014,37,100000,100000-120000,27,0.527360674,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
123,CASH IN HAND,36-48,13,2011,43,120000,120000+,38,0.646295226,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
124,Three Wheeler-Lease-Registered,24-36,19,2005,25,75000,60000-80000,24,0.615229743,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
125,Three Wheeler-Lease-Registered,60+,14,2010,61,70000,60000-80000,45,0.636940217,Low_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,above 10 percentage,Red
126,CASH IN HAND,60+,14,2010,61,75000,60000-80000,55,0.171713103,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
127,Three Wheeler-Lease-Registered,36-48,16,2008,37,70000,60000-80000,43,0.414538065,Medium_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,Missing,Green
128,Three Wheeler-Lease-Registered,36-48,10,2014,37,80000,80000-100000,47,0.419896612,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
129,Three Wheeler-Lease-Registered,36-48,9,2015,37,75000,60000-80000,30,0.42588087,Medium_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
130,CASH IN HAND,60+,11,2013,61,60000,60000-80000,48,0.516440952,Medium_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
131,CASH IN HAND,36-48,15,2009,37,80000,80000-100000,23,0.793463358,Medium_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
132,Three Wheeler-Lease-Registered,36-48,12,2012,43,65000,60000-80000,29,0.455008805,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
133,CASH IN HAND,60+,13,2011,61,120000,120000+,50,0.641978643,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
134,Three Wheeler-Lease-Registered,24-36,17,2007,31,75000,60000-80000,27,0.51297479,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 5 - 10 percentage,between 5- 10 percentage,Green
135,CASH IN HAND,48-60,12,2012,49,90000,80000-100000,44,0.562390244,Medium_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
136,Three Wheeler-Lease-Registered,36-48,9,2015,37,70000,60000-80000,29,0.698538261,Medium_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
137,Three Wheeler-Lease-Registered,48-60,9,2015,49,100000,100000-120000,43,0.546235652,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
138,Three Wheeler-Lease-Registered,36-48,10,2014,37,120000,120000+,41,0.611433064,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
139,Three Wheeler-Lease-Registered,60+,11,2013,61,110000,100000-120000,26,0.82082437,Medium_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
140,CASH IN HAND,48-60,15,2009,49,100000,100000-120000,38,0.830695474,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
141,Three Wheeler-Lease-Registered,60+,14,2010,61,7000,< 40000,56,0.771261793,Medium_risk_sub_purpose_code,60-80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
143,Three Wheeler-Lease-Registered,24-36,11,2013,25,45000,40000-60000,29,0.504815238,Medium_risk_sub_purpose_code,Above 80,between 100 - 150 percentage,between 1 - 5 percentage,less than 2 percentage,Red
144,Three Wheeler-Lease-Registered,24-36,12,2012,25,500000,120000+,41,0.713533659,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
145,Three Wheeler-Lease-Registered,36-48,13,2011,43,150000,120000+,39,0.906524903,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
146,Three Wheeler-Lease-Registered,48-60,14,2010,49,85000,80000-100000,35,0.623620414,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
147,CASH IN HAND,36-48,14,2010,37,75000,60000-80000,40,0.382028615,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
148,CASH IN HAND,36-48,9,2015,37,200000,120000+,37,0.588865728,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 5 - 10 percentage,above 10 percentage,Green
149,CASH IN HAND,36-48,16,2008,37,200000,120000+,49,0.454450725,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,above 15 percentage,between 2- 5 percentage,Green
150,CASH IN HAND,48-60,10,2014,49,180000,120000+,41,0.652606742,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
151,CASH IN HAND,36-48,11,2013,37,80000,80000-100000,27,0.74539619,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
152,CASH IN HAND,24-36,14,2010,31,100000,100000-120000,53,0.48470495,Low_risk_sub_purpose_code,Missing,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
154,Three Wheeler-Lease-Registered,36-48,14,2010,37,80000,80000-100000,37,0.695046025,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,between 5 - 10 percentage,between 5- 10 percentage,Red
155,CASH IN HAND,48-60,9,2015,49,80000,80000-100000,30,0.53874467,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,above 15 percentage,between 2- 5 percentage,Green
156,Three Wheeler-Lease-Registered,48-60,16,2008,49,60000,60000-80000,58,0.721419355,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Red
158,Three Wheeler-Lease-Registered,48-60,8,2016,48,130000,120000+,40,0.814729574,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
